Tarif_Adi,Lemmatized_Metin
Sodalı Köfte,kıyma soğan galeta unu tuz kırmızı toz biber kırmızı pul biber kimyon karabiber kabartma tozu soda derin bir kap içine adet büyük boy soğan rendeleyin rendelediğiniz soğanın suyu varsa suyunu süzün ardından üzerine yarım kilo kıyma koyun daha sonra kaba yarım çay bardağı galeta unu tatlı kaşığı tuz çay kaşığı dolusu kırmızı toz biber çay kaşığı kırmızı pul biber çay kaşığı kimyon yarım çay kaşığı karabiber ve yarım paket kabartma tozu koyun son olarak köfteli harcın üzerine çay bardağı soda dökün tüm köfte harcını eliniz ile iyice yoğurun hazırladığınız sodalı köfte harcını buzdolabından en az saat dinlenmeye bırakın daha sonra dinlenen köfte harcından ceviz büyüklüğünde parçalar alıp elinizde yuvarlak ya da oval şeklini verin şekil verdiğiniz köfteleri yağlı kağıt serili fırın tepsisi içine dizin köftelerin yanına isteğe göre birkaç domates ve biber koyabilirsiniz sodalı köfteleri önceden ısıtılmış derece fırına verin üzerleri güzelce kızarana kadar pişirin
Piliç Topkapı,tavuk but süt karabiber kırmızı toz biber tuz pirinç soğan dolmalık fıstık kuş üzümü tereyağı zeytinyağı tarçın domates salçası su tavuk butlarını kasabınızdan rica ederek kemiklerinden ayırtın ve biraz dövdürün geniş bir kap içine adet kemiklerinden ayrılmış ve inceltilmiş tavuk butlarını güzelce koyun üzerlerine çay kaşığı karabiber çay kaşığı kırmızı toz biber çay kaşığı dolusu tuz ve küçük çay bardağı kadar süt ekleyin eliniz ile etleri güzelce harmanlayın kabın üzerini streç film ile kapatıp buzdolabında saat kadar marine edin daha sonra su bardağı pirinci kaba koyun üzerine sıcak su döküp dakika kadar bekletin yemek kaşığı kuş üzümünü de yumuşaması için sıcak su içinde bekletin küçük bir tava içinde yemek kaşığı dolmalık fıstığı güzelce kavurun diğer tarafta orta boy bir tencere içine tatlı kaşığı dolusu tereyağı ve yemek kaşığı zeytinyağı koyun yağın üzerine adet orta boy ince ince doğranmış soğan ekleyin soğanı dakika sürekli karıştırarak kavurun önceden ıslattığınız pirincin suyunu süzüp tencereye ekleyin pirinci soğan ile beraber dakika kadar kavurun pirincin üzerine kavrulmuş dolmalık fıstık suyu süzülmüş kuş üzümü çay kaşığı silme toz tarçın çay kaşığı karabiber ve tatlı kaşığı tuz ekleyin pirinci diğer malzemeler ile dakika kadar daha kavurun ardından pirincin üzerine su bardağı ılık su döküp karıştırın tencerenin kapağını kapatıp pilav suyunu çekene kadar pişirin piştikten sonra kenarda dinlenmeye bırakın pirince normal ölçülerden biraz daha az su ekliyoruz ki fırında da pişeceği için lapa olmasın tavukları derili kısımları alta gelecek şekilde çukur bir kase içine yerleştirin orta kısmını iç pilav harcı ile doldurun kenardan sarkan tavuk parçalarını güzelce pilavın üzerine kapatın ardından kaseyi dikkatli bir şekilde ters çevirip fırın kapı içine koyun tavukların üzeri için küçük bir sos tavası içine yemek kaşığı zeytinyağı ve yarım yemek kaşığı domates salçası koyun salçanın hafifçe kokusu çıkana kadar kavurun ardından damak tadınıza göre tuz karabiber ve yarım çay bardağı kadar su ekleyip güzelce karıştırın hazırladığınız sosu tavukların üzerine güzelce dökün kabın üzerini yağlı kağıt ile kapatın önceden ısıtılmış derece fırına verin yaklaşık dakika pişirin daha sonra yemeğin üzerinden yağlı kağıdı alıp tekrar fırına verin üzeri nar gibi kızarana kadar yaklaşık dakika pişirin
Tire Şiş Köfte,orta yağlı kıyma tuz karabiber orta boy sivri biber orta boy domates tereyağı tahta çöp şiş derin bir kap içine yarım kilo orta yağlı kıyma koyun kıymanın üzerine tatlı kaşığı tuz ve damak tadınıza göre karabiber ekleyin tüm köfte harcını özleşene kadar iyice yoğurun yoğurduğunuz köfte harcını eşit parçaya bölün diğer tarafta da küçük bir kase içine biraz su koyun üzerine çok az tuz ekleyip karıştırın ardından elinizi hafifçe ıslatıp köfte parçalarından birini alın köfteyi iki elinizle ileri geri yuvarlayıp silindir şeklini verin daha sonra köfteyi tezgah üzerine koyun parmak uçlarınız ile uzunlamasına köftenin üzerine hafifçe bastırıp adet tahta çöp şiş yerleştirin köftenin uç kısımlarını iyice kapatın ardından şişi bir elinizle tutup diğer elinizi de ara ara tuzlu su ile hafifçe ıslatarak çöp şiş üzerinde köfteye aşağı yukarı eliniz ile bastıra bastıra orta incelikle şekil verin köftelere şekil verdikten sonra yanmaz yapışmaz geniş bir tavayı ocak üzerine alıp iyice ısıtın hazırladığınız tire köfteleri ısıttığınız tavanın içine güzelce dizin arkalı önlü hafifçe kızarana kadar pişirin köfteleri tavada kızartmak yerine fırında ya da ızgarada da pişirebilirsiniz köfteler piştikten sonra bir tabak üzerine alıp kenarda soğumaya bırakın soğuduktan sonra köfteleri dikkatli bir şekilde çöp şişlerinden çıkarın tire şiş köftenin sosu için orta boy geniş bir tava içine yarım yemek kaşığı tereyağı koyup iyice ısıtın isınan yağın üzerine adet orta boy biraz iri doğranmış domatesi ekleyin damak tadınıza göre de biraz tuz koyup domatesleri ara ara karıştırarak yumuşayana kadar pişirin daha sonra başka geniş bir tava içine yemek kaşığı dolusu tereyağı koyup iyice ısıtın ardından adet orta boy sivri biberi parçaya kesip yağın üzerine koyun biberleri yağda hafifçe kızarana kadar pişirin kızaran biberlerin üzerine şişten çıkarttığınız tire köftelerini ekleyin köfteleri de dikkatli bir şekilde biberler ile birlikte karıştırarak hafifçe kızarana kadar pişirin tire şiş köftenin servisi için öncelikle hazırladığınız domates sosunu servis tabağının tabanına güzelce yayın domates sosunun üzerine tire şiş köfteleri ve biberleri güzelce yerleştirin üzerlerine tutam ince ince doğranmış maydanoz serpiştirin yanında yoğurt ve tırnak pide ile sıcak olarak servis edebilirsiniz
Et Köfte,kıyma yumurta kuru soğan galeta unu kimyon pulbiber karabiber tuz derin bir kaba gr kıyma koyun üzerine adet yumurta kırın adet orta boy kuru soğan rendeleyin ardından yemek kaşığı galeta unu çay kaşığı kimyon yarım çay kaşığı karabiber yarım çay kaşığı pulbiber ve tuz ekleyin köfte harcını dakika boyunca durmadan yoğurun hazırladığınız et köfte harcının üzerini streç film ile örtüp buzdolabında saat kadar dinlenmeye bırakın ardından buzdolabından çıkartıp dakika kadar tekrar yoğurun et köfte harcından cevizden biraz büyük parçalar alın elinizde oval ya da yuvarlak şekli verin diğer tarafta geniş bir tava içine biraz sıvı yağ koyup orta ateş üzerinde ısıtın tava içinde köfteleri koyup arkalı önlü güzelce pişirin pişen et köftesini servis tabağına koyun yanında soğan salatası ya da közlenmiş domates biber ile servis edebilirsiniz
Şıhıl Mahşi,kabak kıyma nohut soğan sarımsak zeytinyağı maydanoz tuz kimyon karabiber kırmızı toz biber domates salçası ılık su yoğurt rendelenmiş sarımsak kabakları yıkayın ve uzun çizikler atın kabakları ikiye kesin ve iç kısımlarını oyun kabakları kızgın yağda kızartın kızaran kabakları havlu kağıdına alın kabakların iç harcı için tava içine zeytinyağı dökün soğanı kavurun ve kıymayı ekleyin kıymayı pişirin ve baharatları ekleyin kıymalı harcı nohutla karıştırın kabakların iç kısımlarını kıymalı harçla doldurun dolmaları fırına verin ve pişirin sosu için domates salçasını ılık su ile karıştırın sosu kabakların üzerine gezdirin ve servis edinin
Tavuk Burger,tavuk göğsü tuz sarımsak tozu un hamburger ekmeği marul yumurta süt galeta unu mısır gevreği tavuk göğsünü bıçak yardımı ile küçük küçük dilimleyin mutfak robotu içine koyun tavuk etlerinin üzerine tuz ve sarımsak tozu ekleyin tavuk etlerini mutfak robotundan iyice geçirip parçalanmasını sağlayın yemek kaşığı un koyun tekrardan mutfak robotundan geçirin elinizi sürekli ıslatarak tavuk köftesi harcından iri parçalar alın köftelerin düzgün bir daire şeklini alabilmesi için bir kavanoz kapağı ya da büyük yuvarlak kurabiye kalıbını tezgah üzerine alın kalıbın üzerine buzdolabı poşeti ya da streç film serin tavuk köftesini kalıbın içine koyup eşit bir şekilde yayın ardından poşeti kaldırıp köfteyi düzgünce alın i steğe göre kalıp kullanmadan eliniz ile de şekil verebilirsiniz tavuk köftelerini bulamak için bir kase içine adet yumurta kırın üzerine yemek kaşığı süt ve biraz tuz ekleyip iyice karıştırın başka bir kaba da yarım su bardağından biraz fazla galeta unu koyun su bardağı mısır gevreğini rondodan iyice geçirip galeta ununun üzerine ekleyip güzelce karıştırın hazırladığınız tavuk köftelerini öncelikle arkalı önlü ve kenar kısımlarını una bulayın ardından arkalı önlü yumurtalı harca bulayın son olarak da mısır gevrekli galeta un karışımına bulayın tavuk köftelerini buladıktan sonra kolaylık açısından bir tabak üzerine alın tavuk burger köftelerini kızgın yağ içinde arkalı önlü güzelce kızartın daha sonra adet hamburger ekmeğini ortadan ikiye kesin ekmeğin tabanına marul koyun marulun üzerine tavuk köftelerini yerleştirin köftelerin üzerine de ketçap mayonez ya da hardal sıkıp ekmeğin üstünü üzerine kapatın
Trakya Kapama,pilavlık pirinç tereyağı zeytinyağı soğan kuru nane karabiber kimyon tavuk suyu tuz tavuk baget havuç defne yaprağı tane karabiber su domates salçası adet tavuk bageti derin bir tencere içine koyun üzerlerine adet orta boy havuç ve adet orta boy soğanı iri iri doğrayıp ekleyin ardından adet defne yaprağı adet tane karabiber ve biraz tuz koyun daha sonra tavukların üzerine litre su dökün tencereyi ocak üzerine alın ve kapağını kapatın yüksek ateş üzerinde kaynamaya bırakın kaynadıktan sonra kısık ateş üzerinde tavuklar yumuşayana kadar pişirin diğer tarafta su bardağı pilavlık pirinci ılık su içinde dakika kadar bekletip suyunu süzün daha sonra geniş bir tencere içine yemek kaşığı tereyağı ve yemek kaşığı zeytinyağı koyup ısıtın yağın üzerine adet orta boy ince ince doğranmış soğan ekleyip hafifçe yumuşayana kadar kavurun kavrulan soğanların üzerine ılık su içinde bekletip suyunu süzdüğünüz pirinci koyun pirinci soğanlar ile birlikte tane tane olana kadar kavurun ardından kavrulan pirincin üzerine damak tadınıza göre tuz tatlı kaşığı dolusu kuru nane çay kaşığı karabiber ve yarım çay kaşığı kimyon koyun pirinci baharatları ile birlikte kere karıştırın daha sonra kavurduğunuz pirinci ocaktan alın cm lik bir fırın kabının tabanına eşit bir şekilde yayın pirincin üzerine pişen tavuk bagetleri güzelce sıralayın i steğe göre tavuk bagetlerin deri kısımlarını çıkartabilirsiniz ardından pirincin üzerini geçecek kadar yaklaşık buçuk su bardağı tavuk suyundan dökün son olarak küçük bir kase içine çay kaşığı domates salçası koyun salçanın üzerine az miktar tavuğun suyundan döküp açılmasını sağlayın salçalı sosu fırça yardımı ile tavuk bagetlerin üzerine hafifçe sürün hazırladığınız trakya kapamayı önceden ısıtılmış derece fırına verin pirinçler tamamen suyunu çekip tavukların üzeri kızarana kadar yaklaşık dakika pişirin
Ev Köftesi,orta yağlı kıyma orta boy kuru soğan yumurta büyük diş sarımsak bayat ekmek içi maydanoz kimyon karabiber kırmızı toz biber karbonat tuz derin bir kaba yarım kilo orta yağlı kıyma koyun kıymanın üzerine adet yumurta kırın ardından adet orta boy rendelenmiş soğan ve büyük diş rendelenmiş sarımsak ekleyin daha sonra kaba çay kaşığı kimyon çay kaşığı karabiber çay kaşığı kırmızı toz biber çay kaşığı karbonat buçuk çay kaşığı tuz ve yarım demet ince ince doğranmış maydanoz koyun i steğe göre karbonat eklemeyebilirsiniz ya da karbonat yerine yarım paket kabartma tozu koyabilirsiniz son olarak dilim bayat ekmek içini çok az su ile hafifçe ıslatın ardından ekmek içini köfte harcının üzerine ekleyin tüm köfte harcını eliniz ile iyice yoğurun hazırladığınız ev köftesi harcını buzdolabından en az yarım saat dinlenmeye bırakın daha sonra dinlenen köfte harcından ceviz büyüklüğünde parçalar alıp elinizde oval şeklini verin bu esnada köftelere şekil verirken elinizi hafifçe yağlamanız köftelerinizin daha düzgün şekil almasını sağlayacaktır diğer tarafta orta boy geniş bir tava içine tabanı kaplayacak kadar sıvı yağ dökün orta ateş üzerinde iyice ısınmasını sağlayın şekil verdiğiniz köfteleri yağ içine koyun köfteleri arkalı önlü güzelce kızarana kadar pişirin kızarttığınız ev yapımı köfteleri havlu kağıt serili bir servis tabağı üzerine alın fazla olan yağlarının süzülmesini sağlayın daha sonra sıcak olarak servis edebilirsiniz
Macar Kebabı,kuşbaşı doğranmış et patlıcan patates haşlanmış bezelye domates sarımsak zeytinyağı rendelenmiş kaşar peynir tuz karabiber beşamel sos i çin üzeri i çin gr kuşbaşı doğranmış dana etini orta büyüklükteki kızgın bir tencere içine koyun eti dakika kadar ara ara karıştırarak kavurun daha sonra etlerin üzerini biraz geçecek kadar su dökün etlere suyunu çekip yumuşayıncaya kadar pişirin diğer tarafta adet büyük boy patlıcanı alacalı olarak soyun adet orta boy patatesin kabuğunu da soyun patlıcan ve patatesi küpler halinde doğrayıp kızgın yağ içinde ayrı ayrı kızartın kızaran patates ve patlıcanları kağıt havlu serili tabak üzerine koyup yağının süzülmesini sağlayın daha sonra tamamen suyunu çekip yumuşamış olan etlerin üzerine yemek kaşığı zeytinyağı dökün etlere su bardağı haşlanmış bezelye ve diş küçük küçük doğranmış sarımsak koyup dakika ara ara karıştırarak pişirin ardından tencereye adet küçük boy minik küpler halinde doğranmış domates damak tadınıza göre tuz ve karabiber ekleyin domatesler hafifçe yumuşayana kadar kısa bir süre pişirin etili harç piştikten sonra ocaktan alıp üzerine kızarttığınız patates ve patlıcanları koyun su bardağı da rendelenmiş kaşar peynir ekleyin tüm malzemeleri güzelce karıştırıp küçük yuvarlak borcam içine koyup eşit bir şekilde yayın beşamel sos için küçük bir tencere içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine yemek kaşığı un ekleyin unun kokusu çıkana kadar dakika kadar kavurun kavurduğunuz unun üzerine buçuk su bardağı sütü azar azar döküp topaklanmaması için hızlı bir şekilde karıştırın sosu sürekli karıştırarak akıcı koyu bir kıvam alana kadar pişirin sosunuz çok koyu olursa azar azar süt ekleyerek kıvamı açabilirsiniz damak tadınıza göre tuz ve karabiber ekleyip ocaktan alın hazırladığınız beşamel sosu fırın kabında bulunan etli sebzeli harcın üzerine eşit bir şekilde yayın beşamel sosun üzerine de su bardağı kadar rendelenmiş kaşar peynir serpiştirin macar kebabı önceden ısıtılmış derece fırına verin üzeri kızarana kadar yaklaşık dakika pişirin macar kebabı piştikten sonra fırından çıkartıp dakika kadar dinlenmeye bırakın daha sonra sıcak olarak servis edebilirsiniz
Sucuklu Nohut Yemeği,kuru nohut sucuk soğan sarımsak domates salçası biber salçası zeytinyağı sıcak su tuz nohutları gece ılık su içinde bekletin nohutların suyunu dökün ve tekrar su dökün nohutları kaynatın ve hafifçe yumuşayana kadar pişirin soğanı ve sarımsağı ısıtın domates salçası ve biber salçasını ekleyin salçaları kavurduktan sonra sucuğu ekleyin sucukları kavurun ve nohutları ekleyin tuz ve sıcak su ekleyin kaynadıktan sonra dakika pişirin
