Tarif_Adi,Kategori,Malzemeler,Yapilis_Adimlari
Sodalı Köfte,ana yemek,kıyma soğan galeta unu tuz kırmızı toz biber kırmızı pul biber kimyon karabiber kabartma tozu soda,"Derin bir kap içine 1 adet büyük boy soğan rendeleyin. Rendelediğiniz soğanın suyu varsa suyunu süzün. Ardından üzerine yarım kilo kıyma koyun. Daha sonra kaba yarım çay bardağı galeta unu, 1 tatlı kaşığı tuz, 1 çay kaşığı dolusu kırmızı toz biber, 1 çay kaşığı kırmızı pul biber, 1 çay kaşığı kimyon, yarım çay kaşığı karabiber ve yarım paket kabartma tozu koyun. Son olarak köfteli harcın üzerine 1 çay bardağı soda dökün. Tüm köfte harcını eliniz ile iyice yoğurun. Hazırladığınız sodalı köfte harcını buzdolabından en az 1 saat dinlenmeye bırakın. Daha sonra dinlenen köfte harcından ceviz büyüklüğünde parçalar alıp, elinizde yuvarlak ya da oval şeklini verin. Şekil verdiğiniz köfteleri yağlı kağıt serili fırın tepsisi içine dizin. Köftelerin yanına isteğe göre birkaç domates ve biber koyabilirsiniz. Sodalı köfteleri önceden ısıtılmış 200 derece fırına verin. Üzerleri güzelce kızarana kadar pişirin."
Piliç Topkapı,ana yemek,tavuk but süt karabiber kırmızı toz biber tuz pirinç soğan dolmalık fıstık kuş üzümü tereyağı zeytinyağı tarçın domates salçası su,"Tavuk butlarını kasabınızdan rica ederek kemiklerinden ayırtın ve biraz dövdürün. Geniş bir kap içine 4 adet kemiklerinden ayrılmış ve inceltilmiş tavuk butlarını güzelce koyun. Üzerlerine 1 çay kaşığı karabiber, 1 çay kaşığı kırmızı toz biber, 1 çay kaşığı dolusu tuz ve 1 küçük çay bardağı kadar süt ekleyin. Eliniz ile etleri güzelce harmanlayın. Kabın üzerini streç film ile kapatıp, buzdolabında 2-3 saat kadar marine edin. Daha sonra 1 su bardağı pirinci kaba koyun. Üzerine sıcak su döküp, 15 dakika kadar bekletin. 1 yemek kaşığı kuş üzümünü de yumuşaması için sıcak su içinde bekletin. Küçük bir tava içinde 1 yemek kaşığı dolmalık fıstığı güzelce kavurun. Diğer tarafta orta boy bir tencere içine 1 tatlı kaşığı dolusu tereyağı ve 2 yemek kaşığı zeytinyağı koyun. Yağın üzerine 1 adet orta boy ince ince doğranmış soğan ekleyin. Soğanı 2-3 dakika sürekli karıştırarak kavurun. Önceden ıslattığınız pirincin suyunu süzüp, tencereye ekleyin. Pirinci soğan ile beraber 3 dakika kadar kavurun. Pirincin üzerine kavrulmuş dolmalık fıstık, suyu süzülmüş kuş üzümü, 1 çay kaşığı silme toz tarçın, 1 çay kaşığı karabiber ve 1 tatlı kaşığı tuz ekleyin. Pirinci diğer malzemeler ile 1 dakika kadar daha kavurun. Ardından pirincin üzerine 1 su bardağı ılık su döküp, karıştırın. Tencerenin kapağını kapatıp, pilav suyunu çekene kadar pişirin. Piştikten sonra kenarda dinlenmeye bırakın. Pirince normal ölçülerden biraz daha az su ekliyoruz ki fırında da pişeceği için lapa olmasın. Tavukları derili kısımları alta gelecek şekilde çukur bir kase içine yerleştirin. Orta kısmını iç pilav harcı ile doldurun. Kenardan sarkan tavuk parçalarını güzelce pilavın üzerine kapatın. Ardından kaseyi dikkatli bir şekilde ters çevirip, fırın kapı içine koyun. Tavukların üzeri için; küçük bir sos tavası içine 2-3 yemek kaşığı zeytinyağı ve yarım yemek kaşığı domates salçası koyun. Salçanın hafifçe kokusu çıkana kadar kavurun. Ardından damak tadınıza göre tuz, karabiber ve yarım çay bardağı kadar su ekleyip, güzelce karıştırın. Hazırladığınız sosu tavukların üzerine güzelce dökün. Kabın üzerini yağlı kağıt ile kapatın. Önceden ısıtılmış 190 derece fırına verin. Yaklaşık 35 dakika pişirin. Daha sonra yemeğin üzerinden yağlı kağıdı alıp, tekrar fırına verin. Üzeri nar gibi kızarana kadar yaklaşık 20 dakika pişirin."
Tire Şiş Köfte,ana yemek,orta yağlı kıyma tuz karabiber orta boy sivri biber orta boy domates tereyağı tahta çöp şiş,"Derin bir kap içine yarım kilo orta yağlı kıyma koyun. Kıymanın üzerine 1 tatlı kaşığı tuz ve damak tadınıza göre karabiber ekleyin. Tüm köfte harcını özleşene kadar iyice yoğurun. Yoğurduğunuz köfte harcını 12 eşit parçaya bölün. Diğer tarafta da küçük bir kase içine biraz su koyun. Üzerine çok az tuz ekleyip, karıştırın. Ardından elinizi hafifçe ıslatıp, köfte parçalarından birini alın. Köfteyi iki elinizle ileri geri yuvarlayıp, silindir şeklini verin. Daha sonra köfteyi tezgah üzerine koyun. Parmak uçlarınız ile uzunlamasına köftenin üzerine hafifçe bastırıp, 1 adet tahta çöp şiş yerleştirin. Köftenin uç kısımlarını iyice kapatın. Ardından şişi bir elinizle tutup, diğer elinizi de ara ara tuzlu su ile hafifçe ıslatarak, çöp şiş üzerinde köfteye aşağı yukarı eliniz ile bastıra bastıra orta incelikle şekil verin. Köftelere şekil verdikten sonra yanmaz yapışmaz geniş bir tavayı ocak üzerine alıp, iyice ısıtın. Hazırladığınız tire köfteleri ısıttığınız tavanın içine güzelce dizin. Arkalı önlü hafifçe kızarana kadar pişirin. Köfteleri tavada kızartmak yerine fırında ya da ızgarada da pişirebilirsiniz. Köfteler piştikten sonra bir tabak üzerine alıp, kenarda soğumaya bırakın. Soğuduktan sonra köfteleri dikkatli bir şekilde çöp şişlerinden çıkarın. Tire şiş köftenin sosu için; orta boy geniş bir tava içine yarım yemek kaşığı tereyağı koyup, iyice ısıtın. Isınan yağın üzerine 4 adet orta boy biraz iri doğranmış domatesi ekleyin. Damak tadınıza göre de biraz tuz koyup, domatesleri ara ara karıştırarak yumuşayana kadar pişirin. Daha sonra başka geniş bir tava içine 1 yemek kaşığı dolusu tereyağı koyup, iyice ısıtın. Ardından 4-5 adet orta boy sivri biberi 3-4 parçaya kesip, yağın üzerine koyun. Biberleri yağda hafifçe kızarana kadar pişirin. Kızaran biberlerin üzerine şişten çıkarttığınız tire köftelerini ekleyin. Köfteleri de dikkatli bir şekilde biberler ile birlikte karıştırarak, hafifçe kızarana kadar pişirin. Tire şiş köftenin servisi için; öncelikle hazırladığınız domates sosunu servis tabağının tabanına güzelce yayın. Domates sosunun üzerine tire şiş köfteleri ve biberleri güzelce yerleştirin. Üzerlerine 1 tutam ince ince doğranmış maydanoz serpiştirin. Yanında yoğurt ve tırnak pide ile sıcak olarak servis edebilirsiniz."
Et Köfte,ana yemek,kıyma yumurta kuru soğan galeta unu kimyon pulbiber karabiber tuz,"Derin bir kaba 350 gr kıyma koyun. Üzerine 1 adet yumurta kırın. 1 adet orta boy kuru soğan rendeleyin. Ardından 2 yemek kaşığı galeta unu, 1 çay kaşığı kimyon, yarım çay kaşığı karabiber, yarım çay kaşığı pulbiber ve tuz ekleyin. Köfte harcını 10 dakika boyunca durmadan yoğurun. Hazırladığınız et köfte harcının üzerini streç film ile örtüp, buzdolabında 2 saat kadar dinlenmeye bırakın. Ardından buzdolabından çıkartıp 10 dakika kadar tekrar yoğurun. Et köfte harcından cevizden biraz büyük parçalar alın. Elinizde oval ya da yuvarlak şekli verin. Diğer tarafta geniş bir tava içine biraz sıvı yağ koyup, orta ateş üzerinde ısıtın. Tava içinde köfteleri koyup arkalı önlü güzelce pişirin. Pişen et köftesini servis tabağına koyun. Yanında soğan salatası ya da közlenmiş domates, biber ile servis edebilirsiniz."
Şıhıl Mahşi,ana yemek,kabak kıyma nohut soğan sarımsak zeytinyağı maydanoz tuz kimyon karabiber kırmızı toz biber domates salçası ılık su yoğurt rendelenmiş sarımsak,Kabakları yıkayın ve uzun çizikler atın. Kabakları ikiye kesin ve iç kısımlarını oyun. Kabakları kızgın yağda kızartın. Kızaran kabakları havlu kağıdına alın. Kabakların iç harcı için tava içine zeytinyağı dökün. Soğanı kavurun ve kıymayı ekleyin. Kıymayı pişirin ve baharatları ekleyin. Kıymalı harcı nohutla karıştırın. Kabakların iç kısımlarını kıymalı harçla doldurun. Dolmaları fırına verin ve pişirin. Sosu için domates salçasını ılık su ile karıştırın. Sosu kabakların üzerine gezdirin ve servis edinin.
Tavuk Burger,ana yemek,tavuk göğsü tuz sarımsak tozu un hamburger ekmeği marul yumurta süt galeta unu mısır gevreği,"Tavuk göğsünü bıçak yardımı ile küçük küçük dilimleyin. Mutfak robotu içine koyun. Tavuk etlerinin üzerine tuz ve sarımsak tozu ekleyin. Tavuk etlerini mutfak robotundan iyice geçirip, parçalanmasını sağlayın. 1 yemek kaşığı un koyun. Tekrardan mutfak robotundan geçirin. Elinizi sürekli ıslatarak, tavuk köftesi harcından iri parçalar alın. Köftelerin düzgün bir daire şeklini alabilmesi için bir kavanoz kapağı ya da büyük yuvarlak kurabiye kalıbını tezgah üzerine alın. Kalıbın üzerine buzdolabı poşeti ya da streç film serin. Tavuk köftesini kalıbın içine koyup, eşit bir şekilde yayın. Ardından poşeti kaldırıp, köfteyi düzgünce alın. İsteğe göre kalıp kullanmadan eliniz ile de şekil verebilirsiniz. Tavuk köftelerini bulamak için; bir kase içine 2 adet yumurta kırın. Üzerine 2 yemek kaşığı süt ve biraz tuz ekleyip, iyice karıştırın. Başka bir kaba da yarım su bardağından biraz fazla galeta unu koyun. 1 su bardağı mısır gevreğini rondodan iyice geçirip, galeta ununun üzerine ekleyip, güzelce karıştırın. Hazırladığınız tavuk köftelerini öncelikle arkalı önlü ve kenar kısımlarını una bulayın. Ardından arkalı önlü yumurtalı harca bulayın. Son olarak da mısır gevrekli galeta un karışımına bulayın. Tavuk köftelerini buladıktan sonra kolaylık açısından bir tabak üzerine alın. Tavuk burger köftelerini kızgın yağ içinde arkalı önlü güzelce kızartın. Daha sonra 6 adet hamburger ekmeğini ortadan ikiye kesin. Ekmeğin tabanına marul koyun. Marulun üzerine tavuk köftelerini yerleştirin. Köftelerin üzerine de ketçap, mayonez ya da hardal sıkıp, ekmeğin üstünü üzerine kapatın."
Trakya Kapama,ana yemek,pilavlık pirinç tereyağı zeytinyağı soğan kuru nane karabiber kimyon tavuk suyu tuz tavuk baget havuç defne yaprağı tane karabiber su domates salçası,"10 adet tavuk bageti derin bir tencere içine koyun. Üzerlerine 1 adet orta boy havuç ve 1 adet orta boy soğanı iri iri doğrayıp, ekleyin. Ardından 2 adet defne yaprağı, 10 adet tane karabiber ve biraz tuz koyun. Daha sonra tavukların üzerine 2 litre su dökün. Tencereyi ocak üzerine alın ve kapağını kapatın. Yüksek ateş üzerinde kaynamaya bırakın. Kaynadıktan sonra kısık ateş üzerinde tavuklar yumuşayana kadar pişirin. Diğer tarafta 3 su bardağı pilavlık pirinci ılık su içinde 15-20 dakika kadar bekletip, suyunu süzün. Daha sonra geniş bir tencere içine 2 yemek kaşığı tereyağı ve 2 yemek kaşığı zeytinyağı koyup, ısıtın. Yağın üzerine 1 adet orta boy ince ince doğranmış soğan ekleyip, hafifçe yumuşayana kadar kavurun. Kavrulan soğanların üzerine ılık su içinde bekletip, suyunu süzdüğünüz pirinci koyun. Pirinci soğanlar ile birlikte tane tane olana kadar kavurun. Ardından kavrulan pirincin üzerine damak tadınıza göre tuz, 1 tatlı kaşığı dolusu kuru nane, 1 çay kaşığı karabiber ve yarım çay kaşığı kimyon koyun. Pirinci baharatları ile birlikte 3-4 kere karıştırın. Daha sonra kavurduğunuz pirinci ocaktan alın. 28-30 cm lik bir fırın kabının tabanına eşit bir şekilde yayın. Pirincin üzerine pişen tavuk bagetleri güzelce sıralayın. İsteğe göre tavuk bagetlerin deri kısımlarını çıkartabilirsiniz. Ardından pirincin üzerini geçecek kadar yaklaşık 4 buçuk - 5 su bardağı tavuk suyundan dökün. Son olarak küçük bir kase içine 1 çay kaşığı domates salçası koyun. Salçanın üzerine az miktar tavuğun suyundan döküp, açılmasını sağlayın. Salçalı sosu fırça yardımı ile tavuk bagetlerin üzerine hafifçe sürün. Hazırladığınız Trakya kapamayı önceden ısıtılmış 190 derece fırına verin. Pirinçler tamamen suyunu çekip, tavukların üzeri kızarana kadar yaklaşık 25-30 dakika pişirin."
Ev Köftesi,ana yemek,orta yağlı kıyma orta boy kuru soğan yumurta büyük diş sarımsak bayat ekmek içi maydanoz kimyon karabiber kırmızı toz biber karbonat tuz,"Derin bir kaba yarım kilo orta yağlı kıyma koyun. Kıymanın üzerine 1 adet yumurta kırın. Ardından 1 adet orta boy rendelenmiş soğan ve 1 büyük diş rendelenmiş sarımsak ekleyin. Daha sonra kaba 1 çay kaşığı kimyon, 1 çay kaşığı karabiber, 1 çay kaşığı kırmızı toz biber, 1 çay kaşığı karbonat, 1 buçuk çay kaşığı tuz ve yarım demet ince ince doğranmış maydanoz koyun. İsteğe göre karbonat eklemeyebilirsiniz. Ya da karbonat yerine yarım paket kabartma tozu koyabilirsiniz. Son olarak 3 dilim bayat ekmek içini çok az su ile hafifçe ıslatın. Ardından ekmek içini köfte harcının üzerine ekleyin. Tüm köfte harcını eliniz ile iyice yoğurun. Hazırladığınız ev köftesi harcını buzdolabından en az yarım saat dinlenmeye bırakın. Daha sonra dinlenen köfte harcından ceviz büyüklüğünde parçalar alıp, elinizde oval şeklini verin. Bu esnada köftelere şekil verirken elinizi hafifçe yağlamanız köftelerinizin daha düzgün şekil almasını sağlayacaktır. Diğer tarafta orta boy geniş bir tava içine tabanı kaplayacak kadar sıvı yağ dökün. Orta ateş üzerinde iyice ısınmasını sağlayın. Şekil verdiğiniz köfteleri yağ içine koyun. Köfteleri arkalı önlü güzelce kızarana kadar pişirin. Kızarttığınız ev yapımı köfteleri havlu kağıt serili bir servis tabağı üzerine alın. Fazla olan yağlarının süzülmesini sağlayın. Daha sonra sıcak olarak servis edebilirsiniz."
Macar Kebabı,ana yemek,kuşbaşı doğranmış et patlıcan patates haşlanmış bezelye domates sarımsak zeytinyağı rendelenmiş kaşar peynir tuz karabiber Beşamel Sos İçin: Üzeri İçin:,"500 gr kuşbaşı doğranmış dana etini orta büyüklükteki kızgın bir tencere içine koyun. Eti 5 dakika kadar ara ara karıştırarak, kavurun. Daha sonra etlerin üzerini biraz geçecek kadar su dökün. Etlere suyunu çekip, yumuşayıncaya kadar pişirin. Diğer tarafta 2 adet büyük boy patlıcanı alacalı olarak soyun. 1 adet orta boy patatesin kabuğunu da soyun. Patlıcan ve patatesi küpler halinde doğrayıp, kızgın yağ içinde ayrı ayrı kızartın. Kızaran patates ve patlıcanları kağıt havlu serili tabak üzerine koyup, yağının süzülmesini sağlayın. Daha sonra tamamen suyunu çekip, yumuşamış olan etlerin üzerine 3 yemek kaşığı zeytinyağı dökün. Etlere 1 su bardağı haşlanmış bezelye ve 5 diş küçük küçük doğranmış sarımsak koyup, 2-3 dakika ara ara karıştırarak, pişirin. Ardından tencereye 2 adet küçük boy minik küpler halinde doğranmış domates, damak tadınıza göre tuz ve karabiber ekleyin. Domatesler hafifçe yumuşayana kadar kısa bir süre pişirin. Etili harç piştikten sonra ocaktan alıp, üzerine kızarttığınız patates ve patlıcanları koyun. 1 su bardağı da rendelenmiş kaşar peynir ekleyin. Tüm malzemeleri güzelce karıştırıp, küçük yuvarlak borcam içine koyup, eşit bir şekilde yayın. Beşamel sos için; küçük bir tencere içine 1 yemek kaşığı tereyağı koyup, eritin. Eriyen yağın üzerine 1 yemek kaşığı un ekleyin. Unun kokusu çıkana kadar 1 dakika kadar kavurun. Kavurduğunuz unun üzerine 1 buçuk su bardağı sütü azar azar döküp, topaklanmaması için hızlı bir şekilde karıştırın. Sosu sürekli karıştırarak, akıcı koyu bir kıvam alana kadar pişirin. Sosunuz çok koyu olursa azar azar süt ekleyerek, kıvamı açabilirsiniz. Damak tadınıza göre tuz ve karabiber ekleyip, ocaktan alın. Hazırladığınız beşamel sosu fırın kabında bulunan etli sebzeli harcın üzerine eşit bir şekilde yayın. Beşamel sosun üzerine de 1 su bardağı kadar rendelenmiş kaşar peynir serpiştirin. Macar kebabı önceden ısıtılmış 180 derece fırına verin. Üzeri kızarana kadar yaklaşık 25 dakika pişirin. Macar kebabı piştikten sonra fırından çıkartıp, 5 dakika kadar dinlenmeye bırakın. Daha sonra sıcak olarak servis edebilirsiniz."
Sucuklu Nohut Yemeği,ana yemek,kuru nohut sucuk soğan sarımsak domates salçası biber salçası zeytinyağı sıcak su tuz,Nohutları 1 gece ılık su içinde bekletin. Nohutların suyunu dökün ve tekrar su dökün. Nohutları kaynatın ve hafifçe yumuşayana kadar pişirin. Soğanı ve sarımsağı ısıtın. Domates salçası ve biber salçasını ekleyin. Salçaları kavurduktan sonra sucuğu ekleyin. Sucukları kavurun ve nohutları ekleyin. Tuz ve sıcak su ekleyin. Kaynadıktan sonra 30 dakika pişirin.
